date,mode,sport,event,market,price,estimated_probability,calibrated_probability,stake,bankroll,fee_rate,confidence,edge,ev_per_contract,expected_profit,roi,full_kelly,quarter_kelly,beginner_capped_stake,verdict,result,closing_price,clv,profit_loss,notes
2026-06-16,real,soccer,Germany v Ivory Coast,Germany Win,0.65,0.71,0.71,1.0,50.0,0.05,high,0.05999999999999994,0.04757499999999992,0.07319230769230757,0.07319230769230757,0.17142857142857135,0.04285714285714284,1.0,SMALL TRADE OK,,,,,Testing first logged trade
2026-06-18,real,soccer,Portugal v Congo DR,Portugal Win,0.65,0.75,0.75,6.72,50.0,0.05,high,0.09999999999999998,0.08687499999999995,0.8981538461538455,0.13365384615384607,0.28571428571428575,0.07142857142857144,1.0,REDUCE SIZE - stake exceeds beginner cap of $1.00,loss,0.02,-0.63,-6.72,cr7 washed
2026-06-12,real,soccer,USA vs Paraguay,USA Yes,0.754,,,5.00,,0.00,medium,,,,,,,,LEGACY MANUAL ENTRY,win,0.99,,1.63,Manual settled winner from Kalshi screenshot; total cost 5.00 payout 6.63 profit 1.63
2026-06-17,real,soccer,England vs Croatia,Croatia over 2.5 goals No,,,,1.73,,0.00,low,,,,,,,,LEGACY MANUAL ENTRY,loss,0.00,,-1.73,Manual settled loss from Kalshi history screenshot
2026-06-15,real,soccer,Spain vs Cape Verde,Tie Yes,,,,4.92,,0.00,medium,,,,,,,,LEGACY MANUAL ENTRY,win,0.99,,4.92,Manual settled winner from Kalshi history screenshot
2026-06-14,real,soccer,Ivory Coast vs Ecuador,Tie No,,,,0.54,,0.00,medium,,,,,,,,LEGACY MANUAL ENTRY,win,0.99,,0.54,Manual settled winner from Kalshi history screenshot
2026-06-14,real,soccer,Netherlands vs Japan,Tie Yes,,,,0.89,,0.00,medium,,,,,,,,LEGACY MANUAL ENTRY,win,0.99,,0.89,Manual settled winner from Kalshi history screenshot
2026-06-14,real,soccer,Germany vs Curacao,Germany Yes,,,,0.30,,0.00,medium,,,,,,,,LEGACY MANUAL ENTRY,win,0.99,,0.30,Manual settled winner from Kalshi history screenshot
2026-06-13,real,soccer,Brazil vs Morocco,Brazil Yes,,,,1.64,,0.00,low,,,,,,,,LEGACY MANUAL ENTRY,loss,0.00,,-1.64,Manual settled loss from Kalshi history screenshot
2026-06-12,real,soccer,Legacy combo Germany Spain Argentina Austria Portugal,PARLAY 5-leg combo,,,,14.99,,0.00,low,,,,,,,,LEGACY MANUAL ENTRY,loss,0.00,,-14.99,Manual combo loss from Kalshi screenshot paid out 0 Germany Argentina Austria won Spain and Portugal failed do not repeat
